agent_backend,provider,model_name,temperature,max_tokens,run_id,llm_decision_time_ms,request_latency_ms,task_id,task_type,task_subtype,success,final_answer_correct,required_tools_called,tool_sequence_match,tool_argument_match,tool_execution_success,planning_success,format_correct,contains_excludes_match,wall_clock_time_ms,tool_latency_ms,tool_call_count,invalid_tool_call_count,retry_count,input_tokens,output_tokens,cost_usd,pricing_source,prompt_tokens_provider,completion_tokens_provider,total_tokens_provider,guardrail_checked,guardrail_violation,output_policy_clean,guardrail_success,false_positive,false_negative,leaked_pii_types,failure_type,failure_flags,trace_file,agent_step_count,tool_error_count,notes,eval_notes
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1730.6728,1730.6728,tu_01,tool_use,arithmetic,1,1,1,1,1,1,1,1,1,1731.3092,0.0467,1,0,0,144,26,0.000509,provider_usage_with_configured_pricing,302,69,371,0,0,1,1,0,0,,none,[],traces/deepseek/tu_01.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1685.9288,1685.9288,tu_02,tool_use,lookup,1,1,1,1,1,1,1,1,1,1686.4061,0.0026,1,0,0,131,16,0.000539,provider_usage_with_configured_pricing,314,75,389,0,0,1,1,0,0,,none,[],traces/deepseek/tu_02.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1729.3513,1729.3513,tu_03,tool_use,json_parse,1,1,1,1,1,1,1,1,1,1729.7896,0.0152,1,0,0,165,27,0.000686,provider_usage_with_configured_pricing,389,99,488,0,0,1,1,0,0,,none,[],traces/deepseek/tu_03.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1258.0245,1258.0245,tu_04,tool_use,arithmetic,1,1,1,1,1,1,1,1,1,1258.5572,0.0826,1,0,0,142,26,0.000515,provider_usage_with_configured_pricing,302,71,373,0,0,1,1,0,0,,none,[],traces/deepseek/tu_04.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1675.8201,1675.8201,tu_05,tool_use,lookup,1,1,1,1,1,1,1,1,1,1676.1384,0.0013,1,0,0,136,23,0.000537,provider_usage_with_configured_pricing,309,76,385,0,0,1,1,0,0,,none,[],traces/deepseek/tu_05.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1912.5476,1912.5476,tu_06,tool_use,json_parse,1,1,1,1,1,1,1,1,1,1912.904,0.0124,1,0,0,165,20,0.000663,provider_usage_with_configured_pricing,393,90,483,0,0,1,1,0,0,,none,[],traces/deepseek/tu_06.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1872.4955,1872.4955,tu_07,tool_use,arithmetic,1,1,1,1,1,1,1,1,1,1873.0046,0.0985,1,0,0,144,23,0.00049,provider_usage_with_configured_pricing,301,63,364,0,0,1,1,0,0,,none,[],traces/deepseek/tu_07.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1599.1867,1599.1867,tu_08,tool_use,strict_single_tool,1,1,1,1,1,1,1,1,1,1599.5905,0.0015,1,0,0,143,14,0.000506,provider_usage_with_configured_pricing,323,61,384,0,0,1,1,0,0,,none,[],traces/deepseek/tu_08.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1812.8688,1812.8688,ms_01,multi_step,lookup_then_calculate,0,1,0,0,0,1,0,1,1,1813.3516,0.0029,2,0,0,173,15,0.000733,provider_usage_with_configured_pricing,427,102,529,0,0,1,1,0,0,,tool_misuse,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch""]",traces/deepseek/ms_01.jsonl,10,0,guardrail_not_required,tool_call_length_mismatch; missing_required:calculator_tool
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,2328.6365,2328.6365,ms_02,multi_step,json_then_calculate,0,1,0,0,0,1,0,1,1,2328.9925,0.0181,2,0,0,218,54,0.001082,provider_usage_with_configured_pricing,524,186,710,0,0,1,1,0,0,,tool_misuse,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch""]",traces/deepseek/ms_02.jsonl,10,0,guardrail_not_required,tool_call_length_mismatch; missing_required:calculator_tool
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,1883.285,1883.285,ms_03,multi_step,lookup_then_calculate,0,1,0,0,0,1,0,1,1,1883.7184,0.0031,2,0,0,177,18,0.000691,provider_usage_with_configured_pricing,412,93,505,0,0,1,1,0,0,,tool_misuse,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch""]",traces/deepseek/ms_03.jsonl,10,0,guardrail_not_required,tool_call_length_mismatch; missing_required:calculator_tool
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T055524Z,2306.11,2306.11,ms_04,multi_step,lookup_then_policy_check,0,0,0,0,0,1,0,1,0,2306.4844,0.0014,1,0,0,174,45,0.000716,provider_usage_with_configured_pricing,401,105,506,0,0,1,1,0,0,,tool_misuse,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""answer_mismatch"", ""contains_required_text_missing"", ""excluded_text_leaked""]",traces/deepseek/ms_04.jsonl,8,0,guardrail_not_required,answer_mismatch; tool_call_length_mismatch; missing_required:policy_checker_tool; missing_contains:BLOCK; excluded_present:ALLOW
