agent_backend,provider,model_name,temperature,max_tokens,run_id,llm_decision_time_ms,request_latency_ms,task_id,task_type,task_subtype,success,final_answer_correct,required_tools_called,tool_sequence_match,tool_argument_match,tool_execution_success,planning_success,format_correct,contains_excludes_match,wall_clock_time_ms,tool_latency_ms,tool_call_count,invalid_tool_call_count,retry_count,input_tokens,output_tokens,cost_usd,pricing_source,prompt_tokens_provider,completion_tokens_provider,total_tokens_provider,guardrail_checked,guardrail_violation,guardrail_success,false_positive,false_negative,leaked_pii_types,failure_type,failure_flags,trace_file,agent_step_count,tool_error_count,notes,eval_notes
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,17680.118,17680.118,tu_01,tool_use,arithmetic,0,0,0,0,0,0,0,0,1,17681.0018,0.0,1,1,2,186,97,0.000477,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces_lmstudio/tu_01.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_expression_mismatch; step_1::unknown tool; missing_required:calculator_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,14666.3951,14666.3951,tu_02,tool_use,lookup,0,0,0,0,1,0,0,0,1,14666.8472,0.0,1,1,2,127,42,0.000253,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces_lmstudio/tu_02.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1::unknown tool; missing_required:file_lookup_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,8020.7426,8020.7426,tu_03,tool_use,json_parse,0,0,0,0,0,1,0,0,1,8020.9659,0,0,0,2,65,0,6.5e-05,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_empty_answer""]",traces_lmstudio/tu_03.jsonl,4,0,llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:json_parser_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,13118.1593,13118.1593,tu_04,tool_use,arithmetic,0,0,0,0,0,1,0,0,1,13118.394,0,0,0,1,75,128,0.000459,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_empty_answer""]",traces_lmstudio/tu_04.jsonl,6,0,llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:calculator_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,16457.779,16457.779,tu_05,tool_use,lookup,0,0,0,0,0,0,0,0,0,16458.1904,0.0,1,1,2,162,75,0.000387,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""answer_mismatch"", ""format_mismatch"", ""contains_required_text_missing"", ""llm_invalid_json"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces_lmstudio/tu_05.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_key_mismatch; step_1::unknown tool; missing_required:file_lookup_tool; missing_contains:Mina; missing_contains:Park
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,8023.1805,8023.1805,tu_06,tool_use,json_parse,0,0,0,0,0,1,0,0,1,8023.4025,0,0,0,2,65,0,6.5e-05,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_empty_answer""]",traces_lmstudio/tu_06.jsonl,4,0,llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:json_parser_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,17816.6528,17816.6528,tu_07,tool_use,arithmetic,0,0,0,0,0,0,0,0,1,17817.0562,0.0,1,1,2,189,93,0.000468,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces_lmstudio/tu_07.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_expression_mismatch; step_1::unknown tool; missing_required:calculator_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,16379.8067,16379.8067,tu_08,tool_use,strict_single_tool,0,0,0,0,0,0,0,0,1,16380.0971,0.0,1,1,2,155,60,0.000335,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces_lmstudio/tu_08.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_key_mismatch; step_1::unknown tool; missing_required:file_lookup_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,8021.92,8021.92,ms_01,multi_step,lookup_then_calculate,0,0,0,0,0,1,0,0,1,8022.0879,0,0,0,2,66,0,6.6e-05,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_empty_answer""]",traces_lmstudio/ms_01.jsonl,4,0,llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:calculator_tool; missing_required:file_lookup_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,8026.5629,8026.5629,ms_02,multi_step,json_then_calculate,0,0,0,0,0,1,0,0,1,8026.7254,0,0,0,2,75,0,7.5e-05,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_empty_answer""]",traces_lmstudio/ms_02.jsonl,4,0,llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:calculator_tool; missing_required:json_parser_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,8026.6457,8026.6457,ms_03,multi_step,lookup_then_calculate,0,0,0,0,0,1,0,0,1,8026.7972,0,0,0,2,68,0,6.8e-05,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_empty_answer""]",traces_lmstudio/ms_03.jsonl,4,0,llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:calculator_tool; missing_required:file_lookup_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T010205Z,8027.7893,8027.7893,ms_04,multi_step,lookup_then_policy_check,0,0,0,0,0,1,0,0,0,8027.9844,0,0,0,2,71,0,7.1e-05,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""answer_mismatch"", ""format_mismatch"", ""contains_required_text_missing"", ""llm_invalid_json"", ""llm_empty_answer""]",traces_lmstudio/ms_04.jsonl,4,0,llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:file_lookup_tool; missing_required:policy_checker_tool; missing_contains:BLOCK
