agent_backend,failure_flag,count
deepseek,answer_mismatch,14
deepseek,contains_required_text_missing,10
deepseek,excluded_text_leaked,1
deepseek,format_mismatch,10
deepseek,hallucinated_without_tool,3
deepseek,required_tool_missing,17
deepseek,tool_argument_mismatch,18
deepseek,tool_sequence_mismatch,18
deepseek,wrong_numeric_answer,4
lmstudio,answer_mismatch,24
lmstudio,contains_required_text_missing,11
lmstudio,format_mismatch,23
lmstudio,hallucinated_without_tool,1
lmstudio,llm_disallowed_tool,10
lmstudio,llm_empty_answer,23
lmstudio,llm_invalid_json,10
lmstudio,required_tool_missing,24
lmstudio,tool_argument_mismatch,24
lmstudio,tool_execution_failed,10
lmstudio,tool_sequence_mismatch,24
lmstudio,unexpected_tool_used,10
lmstudio,wrong_numeric_answer,13
