agent_backend,provider,model_name,temperature,max_tokens,run_id,llm_decision_time_ms,request_latency_ms,task_id,task_type,task_subtype,success,final_answer_correct,required_tools_called,tool_sequence_match,tool_argument_match,tool_execution_success,planning_success,format_correct,contains_excludes_match,wall_clock_time_ms,tool_latency_ms,tool_call_count,invalid_tool_call_count,retry_count,input_tokens,output_tokens,cost_usd,pricing_source,prompt_tokens_provider,completion_tokens_provider,total_tokens_provider,guardrail_checked,guardrail_violation,guardrail_success,false_positive,false_negative,leaked_pii_types,failure_type,failure_flags,trace_file,agent_step_count,tool_error_count,notes,eval_notes
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,20686.5545,20686.5545,tu_01,tool_use,arithmetic,0,0,0,0,0,0,0,0,1,20686.9198,0.0,1,1,2,181,178,0.000715,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces/lmstudio/tu_01.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_expression_mismatch; step_1::unknown tool; missing_required:calculator_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,22546.892,22546.892,tu_02,tool_use,lookup,0,0,0,0,0,0,0,0,1,22547.1826,0.0,1,1,2,141,129,0.000528,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces/lmstudio/tu_02.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_key_mismatch; step_1::unknown tool; missing_required:file_lookup_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,15596.115,15596.115,tu_03,tool_use,json_parse,0,0,0,0,0,1,0,0,1,15596.4112,0,0,0,0,85,133,0.000484,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_empty_answer""]",traces/lmstudio/tu_03.jsonl,6,0,llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:json_parser_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,18250.0316,18250.0316,tu_04,tool_use,arithmetic,0,0,0,0,0,0,0,0,1,18250.3593,0.0,1,1,2,153,151,0.000606,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces/lmstudio/tu_04.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_expression_mismatch; step_1::unknown tool; missing_required:calculator_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,28657.4695,28657.4695,tu_05,tool_use,lookup,0,0,0,0,0,0,0,0,0,28657.7401,0.0,1,1,1,129,119,0.000486,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""answer_mismatch"", ""format_mismatch"", ""contains_required_text_missing"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces/lmstudio/tu_05.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_key_mismatch; step_1::unknown tool; missing_required:file_lookup_tool; missing_contains:Mina; missing_contains:Park
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,21276.7374,21276.7374,tu_06,tool_use,json_parse,0,0,0,0,0,1,0,0,1,21277.0328,0,0,0,0,85,138,0.000499,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_empty_answer""]",traces/lmstudio/tu_06.jsonl,6,0,llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:json_parser_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,18860.5029,18860.5029,tu_07,tool_use,arithmetic,0,0,0,0,0,0,0,0,1,18860.8776,0.0,1,1,2,190,178,0.000724,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces/lmstudio/tu_07.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_expression_mismatch; step_1::unknown tool; missing_required:calculator_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,42264.2952,42264.2952,tu_08,tool_use,strict_single_tool,0,0,0,0,0,0,0,0,1,42264.6082,0.0,1,1,1,166,151,0.000619,heuristic_mock,0,0,0,0,0,1,0,0,,tool_misuse,"[""required_tool_missing"", ""unexpected_tool_used"", ""tool_execution_failed"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_disallowed_tool"", ""llm_empty_answer""]",traces/lmstudio/tu_08.jsonl,8,1,llm_disallowed_tool; tool_execution_failed; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; step_1_arg_key_mismatch; step_1::unknown tool; missing_required:file_lookup_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,19892.7554,19892.7554,ms_01,multi_step,lookup_then_calculate,0,0,0,0,0,1,0,0,1,19893.0754,0,0,0,2,193,75,0.000418,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_invalid_json"", ""llm_empty_answer""]",traces/lmstudio/ms_01.jsonl,4,0,llm_invalid_json; llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:calculator_tool; missing_required:file_lookup_tool
lmstudio,local_lmstudio,google/gemma-4-e4b,0,256,20260520T035557Z,47578.6228,47578.6228,ms_02,multi_step,json_then_calculate,0,0,0,0,0,1,0,0,1,47578.9196,0,0,0,0,104,139,0.000521,heuristic_mock,0,0,0,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_empty_answer""]",traces/lmstudio/ms_02.jsonl,6,0,llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:calculator_tool; missing_required:json_parser_tool
