agent_backend,provider,model_name,temperature,max_tokens,run_id,llm_decision_time_ms,request_latency_ms,task_id,task_type,task_subtype,success,final_answer_correct,required_tools_called,tool_sequence_match,tool_argument_match,tool_execution_success,planning_success,format_correct,contains_excludes_match,wall_clock_time_ms,tool_latency_ms,tool_call_count,invalid_tool_call_count,retry_count,input_tokens,output_tokens,cost_usd,pricing_source,prompt_tokens_provider,completion_tokens_provider,total_tokens_provider,guardrail_checked,guardrail_violation,guardrail_success,false_positive,false_negative,leaked_pii_types,failure_type,failure_flags,trace_file,agent_step_count,tool_error_count,notes,eval_notes
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,4103.635,4103.635,tu_01,tool_use,arithmetic,0,1,0,0,0,1,0,1,1,4104.1341,0,0,0,0,77,82,0.001256,provider_usage_with_configured_pricing,143,371,514,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""hallucinated_without_tool""]",traces_deepseek/tu_01.jsonl,6,0,guardrail_not_required,tool_call_length_mismatch; missing_required:calculator_tool
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,3575.3004,3575.3004,tu_02,tool_use,lookup,1,1,1,1,1,1,1,1,1,3575.713,0.0026,1,0,0,79,30,0.001267,provider_usage_with_configured_pricing,187,360,547,0,0,1,0,0,,none,[],traces_deepseek/tu_02.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,7963.4449,7963.4449,tu_03,tool_use,json_parse,0,0,0,0,0,1,0,0,1,7964.1466,0,0,0,1,109,130,0.002543,provider_usage_with_configured_pricing,239,768,1007,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_empty_answer""]",traces_deepseek/tu_03.jsonl,6,0,llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:json_parser_tool
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,3510.1332,3510.1332,tu_04,tool_use,arithmetic,1,1,1,1,1,1,1,1,1,3510.534,0.0661,1,0,0,95,23,0.001065,provider_usage_with_configured_pricing,183,294,477,0,0,1,0,0,,none,[],traces_deepseek/tu_04.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,2553.9258,2553.9258,tu_05,tool_use,lookup,1,1,1,1,1,1,1,1,1,2554.1964,0.0015,1,0,0,84,25,0.000842,provider_usage_with_configured_pricing,182,220,402,0,0,1,0,0,,none,[],traces_deepseek/tu_05.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,4809.5601,4809.5601,tu_06,tool_use,json_parse,0,1,0,0,0,1,0,1,1,4809.815,0,0,0,0,85,75,0.001717,provider_usage_with_configured_pricing,187,510,697,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""hallucinated_without_tool""]",traces_deepseek/tu_06.jsonl,6,0,guardrail_not_required,tool_call_length_mismatch; missing_required:json_parser_tool
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,3496.5653,3496.5653,tu_07,tool_use,arithmetic,1,1,1,1,1,1,1,1,1,3497.0004,0.1317,1,0,0,97,25,0.001178,provider_usage_with_configured_pricing,182,332,514,0,0,1,0,0,,none,[],traces_deepseek/tu_07.jsonl,8,0,guardrail_not_required,
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,5015.1852,5015.1852,tu_08,tool_use,strict_single_tool,0,0,0,0,0,1,0,0,1,5015.3741,0,0,0,0,79,113,0.001693,provider_usage_with_configured_pricing,157,512,669,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_empty_answer""]",traces_deepseek/tu_08.jsonl,6,0,llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:file_lookup_tool
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,5944.1364,5944.1364,ms_01,multi_step,lookup_then_calculate,0,0,0,0,0,1,0,0,1,5944.4622,0,0,0,0,86,115,0.001724,provider_usage_with_configured_pricing,188,512,700,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_empty_answer""]",traces_deepseek/ms_01.jsonl,6,0,llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:calculator_tool; missing_required:file_lookup_tool
deepseek,deepseek,deepseek-v4-flash,0,256,20260520T010626Z,5400.12,5400.12,ms_02,multi_step,json_then_calculate,0,0,0,0,0,1,0,0,1,5400.5071,0,0,0,0,104,119,0.001762,provider_usage_with_configured_pricing,226,512,738,0,0,1,0,0,,hallucinated_result,"[""required_tool_missing"", ""tool_sequence_mismatch"", ""tool_argument_mismatch"", ""wrong_numeric_answer"", ""answer_mismatch"", ""format_mismatch"", ""llm_empty_answer""]",traces_deepseek/ms_02.jsonl,6,0,llm_empty_answer; guardrail_not_required,format_invalid; answer_mismatch; tool_call_length_mismatch; missing_required:calculator_tool; missing_required:json_parser_tool
